|zx |nx |zy |ny | f |no |CTRL|shi|Aor|        x         |        y         |       out        |zr |ng |
| 1 | 0 | 1 | 0 | 1 | 0 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1 | 0 |
| 1 | 1 | 1 | 1 | 1 | 1 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 0000000000000001 | 0 | 0 |
| 1 | 1 | 1 | 0 | 1 | 0 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0 | 0 | 1 | 1 | 0 | 0 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1 | 0 |
| 1 | 1 | 0 | 0 | 0 | 0 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0 | 0 | 1 | 1 | 0 | 1 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 1 | 1 | 0 | 0 | 0 | 1 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1 | 0 |
| 0 | 0 | 1 | 1 | 1 | 1 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1 | 0 |
| 1 | 1 | 0 | 0 | 1 | 1 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 0000000000000001 | 0 | 0 |
| 0 | 1 | 1 | 1 | 1 | 1 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 0000000000000001 | 0 | 0 |
| 1 | 1 | 0 | 1 | 1 | 1 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1 | 0 |
| 0 | 0 | 1 | 1 | 1 | 0 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 1 | 1 | 0 | 0 | 1 | 0 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 1111111111111110 | 0 | 1 |
| 0 | 0 | 0 | 0 | 1 | 0 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0 | 1 | 0 | 0 | 1 | 1 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 0000000000000001 | 0 | 0 |
| 0 | 0 | 0 | 1 | 1 | 1 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0 | 0 | 0 | 0 | 0 | 0 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 1 | 0 |
| 0 | 1 | 0 | 1 | 0 | 1 | 00 | 0 | 0 | 0000000000000000 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 00 | 0 | 1 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 00 | 1 | 1 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 0 | 1 |
| 0 | 1 | 0 | 1 | 0 | 1 | 01 | 0 | 1 | 0000000000000000 | 1111111111111111 | 0000000000000000 | 0 | 1 |
